epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,117.333,1.42297,2.24163,1.05413,0.00529,0.0101,0.00487,0.00292,2.05946,3.66821,1.51671,0.000348104,0.000348104,0.000348104
62,119.067,1.27127,1.87557,0.98908,0.00529,0.0101,0.00487,0.00292,2.05946,3.66821,1.51671,0.000345276,0.000345276,0.000345276
63,121.258,1.53892,2.34431,1.07433,0.00538,0.0101,0.0055,0.00275,2.09113,3.66273,1.51203,0.000342165,0.000342165,0.000342165
64,123.348,1.19911,1.75928,1.0472,0.00538,0.0101,0.0055,0.00275,2.09113,3.66273,1.51203,0.000338772,0.000338772,0.000338772
65,125.159,1.24903,1.89105,0.99874,0.00538,0.0101,0.0055,0.00275,2.09113,3.66273,1.51203,0.000335095,0.000335095,0.000335095
66,127.913,1.4485,2.04216,1.03106,0.00686,0.03574,0.0078,0.00214,2.08767,3.65354,1.53351,0.000331135,0.000331135,0.000331135
67,129.754,1.71652,2.29186,1.18326,0.00686,0.03574,0.0078,0.00214,2.08767,3.65354,1.53351,0.000326892,0.000326892,0.000326892
68,131.974,1.23319,1.70564,0.98411,0.00686,0.03574,0.0078,0.00214,2.08767,3.65354,1.53351,0.000322367,0.000322367,0.000322367
69,134.464,1.40564,1.87717,1.12903,0.01309,0.04584,0.00945,0.00243,2.05145,3.63764,1.53816,0.000317558,0.000317558,0.000317558
70,136.262,1.31323,1.7369,1.06442,0.01309,0.04584,0.00945,0.00243,2.05145,3.63764,1.53816,0.000312467,0.000312467,0.000312467
71,138.86,1.47306,2.02227,1.16163,0.01309,0.04584,0.00945,0.00243,2.05145,3.63764,1.53816,0.000307092,0.000307092,0.000307092
72,140.864,1.62638,2.19938,1.16164,0.02025,0.1826,0.01993,0.00605,2.01884,3.62001,1.5357,0.000301435,0.000301435,0.000301435
73,143.507,1.24156,1.71458,1.14929,0.02025,0.1826,0.01993,0.00605,2.01884,3.62001,1.5357,0.000295494,0.000295494,0.000295494
74,145.482,1.22799,1.6299,1.03142,0.02025,0.1826,0.01993,0.00605,2.01884,3.62001,1.5357,0.000289271,0.000289271,0.000289271
75,147.995,1.85998,2.17373,1.0302,0.019,0.1826,0.03864,0.01151,1.99092,3.60332,1.52913,0.000282765,0.000282765,0.000282765
76,149.931,1.29205,1.57909,1.08583,0.019,0.1826,0.03864,0.01151,1.99092,3.60332,1.52913,0.000275976,0.000275976,0.000275976
77,152.21,1.41917,1.75561,0.96141,0.019,0.1826,0.03864,0.01151,1.99092,3.60332,1.52913,0.000268904,0.000268904,0.000268904
78,154.616,1.14617,1.30368,1.02288,0.01878,0.1826,0.05554,0.01661,1.93755,3.58458,1.51787,0.000261548,0.000261548,0.000261548
79,156.929,1.29407,1.81875,1.14051,0.01878,0.1826,0.05554,0.01661,1.93755,3.58458,1.51787,0.00025391,0.00025391,0.00025391
80,159.387,1.35386,1.60545,1.00952,0.01878,0.1826,0.05554,0.01661,1.93755,3.58458,1.51787,0.000245989,0.000245989,0.000245989
81,162.26,1.24364,1.57127,1.00289,0.02517,0.21834,0.06161,0.02281,1.95027,3.56668,1.52135,0.000237786,0.000237786,0.000237786
82,164.763,1.15958,1.46856,0.97582,0.02517,0.21834,0.06161,0.02281,1.95027,3.56668,1.52135,0.000229299,0.000229299,0.000229299
83,167.264,1.45222,1.70994,0.9758,0.02517,0.21834,0.06161,0.02281,1.95027,3.56668,1.52135,0.000220529,0.000220529,0.000220529
84,169.74,1.26533,1.57666,0.99667,0.02382,0.21834,0.06119,0.02349,1.94202,3.54716,1.51132,0.000211476,0.000211476,0.000211476
85,171.919,1.41619,1.85784,1.01018,0.02382,0.21834,0.06119,0.02349,1.94202,3.54716,1.51132,0.000202141,0.000202141,0.000202141
86,174.229,1.30206,1.6525,0.97744,0.02382,0.21834,0.06119,0.02349,1.94202,3.54716,1.51132,0.000192522,0.000192522,0.000192522
87,176.475,1.35015,1.67821,0.99834,0.02382,0.21834,0.06119,0.02349,1.94202,3.54716,1.51132,0.00018262,0.00018262,0.00018262
